# KD11-B control store, October 1973 drawing set. Bits as printed; NXT is active low.
# NXTADDR is the decoded next microaddress (MPC complemented). ALUCODE/ALUOP decode
# the 5-bit ALU field against the operation table in EK-KD11B-MM-001. SPA is the
# 4-bit scratchpad address ROM-SPA-3..0, which the listing prints as four separate
# non-adjacent single-bit columns (SP3 SP2 SP1 SP0) and is assembled here.
# Symbolic columns decode the fields per kd11b-fieldvalues.tsv. BUT and BRG need the
# printed bits unscrambled first; see kd11b-README.md.
NAM	LOC	NXTADDR	ALUCODE	SPA	BUTNAME	ALUOP	BRGNAME	BLEG	TNSNAME	ALGNAME	SPAMUX	SPFNAME	ABTNAME	FSHNAME	CKONAME	NXT	ALU	CRI	FSH	AUX	PSW	SP1	SP3	DIP	SM0	SP0	SM1	BBT	BAR	BTP	SPF	SP2	CKO	ABT	TNS	ALG	BRG	BUT	WORD40
BT-1	045	245	01	2	JMP/JSR	AL	LOAD	BREG	NONE	NULL	ROM	WRITE	NO	NO	OFF	01011010	00001	0	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	11	10	11	1101	0101101000001011110110111100111110111101
CC-1	112	040	05	0	BYTE	A*notB	HOLD	BREG	NONE	PSW	ROM	READ	NO	NO	OFF	11011111	00101	0	1	1	0	0	0	1	1	0	1	1	1	1	1	0	1	1	11	00	00	1100	1101111100101011000110111110111100001100
CCM-1	151	350	03	1	JMP/JSR	AB	LOAD	BREG	NONE	NULL	ROM	WRITE	NO	NO	OFF	00010111	00011	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	11	10	11	1101	0001011100011011100111111100111110111101
CCM-2	350	112	01	0	UNARY	AL	HOLD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	10110101	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	00	1001	1011010100001011100110111110111111001001
CCS-1	316	276	01	7	NON	AL	LOAD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	01000001	00001	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	11	11	11	1111	0100000100001011110111111111111111111111
CCS-2	276	270	01	0	MOV	AL	HOLD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	01000111	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	00	0110	0100011100001011100110111110111111000110
CCS-3	272	062	07	0	IR-CLK	ZERO	HOLD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	11001101	00111	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	00	0000	1100110100111011100110111110111111000000
CD1-1	313	303	01	15	MOV	AL	LOAD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	00111100	00001	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11	11	11	0110	0011110000001011111111111111111111110110
CD1-2	303	374	37	0	JMP/JSR	not_A	HOLD	BREG	DATI	NULL	ROM	WRITE	NO	NO	ON	00000011	11111	0	1	1	1	0	0	1	1	0	1	1	0	1	0	0	0	1	10	10	00	1101	0000001111111011100110110100011010001101
CD1-3	374	314	01	0	NON	AL	LOAD	BREG	NONE	NULL	BA	READ	NO	NO	OFF	00110011	00001	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	11	10	11	1111	0011001100001011100100011110111110111111
CD1-4	314	372	01	15	NON	AL	HOLD	BREG	DATO	SP	ROM	READ	NO	NO	ON	00000101	00001	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	01	11	00	1111	0000010100001011111111110111010111001111
CD1-5	372	302	13	0	NON	BL	HOLD	BREG	NONE	SP	BA	READ	NO	NO	OFF	00111101	01011	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	11	11	00	1111	0011110101011011100100011110111111001111
CD2-1	312	337	14	15	NON	A_plus_B	LOAD	BREG/+1	NONE	SP	ROM	READ	NO	NO	OFF	00100000	01100	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	11	11	11	1111	0010000001100111111111101111111111111111
CD2-2	337	313	13	15	NON	BL	HOLD	BREG	NONE	SP	ROM	WRITE	NO	NO	OFF	00110100	01011	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	11	11	00	1111	0011010001011011111111111101111111001111
CE1-1	317	307	01	15	MOV	AL	LOAD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	00111000	00001	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	11	11	11	0110	0011100000001011111111110111111111110110
CE1-2	307	326	01	0	NON	AL	HOLD	BREG	DATI	SP	ROM	READ	NO	NO	ON	00101001	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	1	10	11	00	1111	0010100100001011100110111110011011001111
CE1-3	326	302	01	0	NON	AL	LOAD	BREG	NONE	NULL	BA	READ	NO	NO	OFF	00111101	00001	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	11	10	11	1111	0011110100001011100100011110111110111111
